Modelo,CodigoModelo,AnoLabel,AnoModelo,Combustivel,Valor,CodigoFipe,MesReferencia,DataConsulta,Valor_num,Marca
Gol GLi / GL/ Atlanta 1.8,2426,,,,,,,,,VW - VolksWagen
Gol GLS 2.0 Mi,2427,,,,,,,,,VW - VolksWagen
Gol GT/GTS 1.8,2428,,,,,,,,,VW - VolksWagen
Gol GTi 2.0,2429,,,,,,,,,VW - VolksWagen
Gol GTi 2000 16V,2430,,,,,,,,,VW - VolksWagen
Gol I MOTION 1.6 Mi Total Flex 8V 4p,5113,,,,,,,,,VW - VolksWagen
Gol L 1.3/ L/ LS/ C/ S/ BX/ Plus 1.6,2431,,,,,,,,,VW - VolksWagen
Gol Last Edition 1.0 Flex 12V 5p,10166,2023 Flex,2023.0,Flex,"R$ 97.979,00",005539-5,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:37",97979.0,VW - VolksWagen
Gol Plus 1.0 Mi Total Flex 2p,3833,,,,,,,,,VW - VolksWagen
Gol Plus 1.0 Mi Total Flex 4p,3834,,,,,,,,,VW - VolksWagen
Gol Rallye 1.6 T. Flex 16V 5p,6795,,,,,,,,,VW - VolksWagen
Gol Rallye I MOTION 1.6 T. Flex 16V 5p,6793,,,,,,,,,VW - VolksWagen
Gol Rock in Rio 1.0 Mi Total Flex 8V 5p,5600,,,,,,,,,VW - VolksWagen
Gol SELEÇÃO 1.0 Mi Total Flex 8V 5p,5220,,,,,,,,,VW - VolksWagen
Gol SELEÇÃO 1.6 I MOTION T.Flex 8V 5p,6669,,,,,,,,,VW - VolksWagen
Gol SELEÇÃO 1.6 Total Flex 8V 5p,6670,,,,,,,,,VW - VolksWagen
Gol Special 1.0 Mi 4p,2432,,,,,,,,,VW - VolksWagen
Gol Special 1.0 Total Flex 8V 3p,7049,,,,,,,,,VW - VolksWagen
Gol Special 1.0 Total Flex 8V 5p,7050,,,,,,,,,VW - VolksWagen
Gol Special 1.6 Mi 8V 99cv 2p,2433,,,,,,,,,VW - VolksWagen
Gol Special/ Special Xtreme 1.0 Mi 2p,2434,,,,,,,,,VW - VolksWagen
Gol TECH 1.0 Mi Total Flex 8V 2p,4092,,,,,,,,,VW - VolksWagen
Gol TECH 1.0 Mi Total Flex 8V 4p,4093,,,,,,,,,VW - VolksWagen
Gol TRACK 1.0 Mi Total Flex 8V 4p,6472,,,,,,,,,VW - VolksWagen
Gol TRACK 1.0 Total Flex 12V 5p,7817,2018 Flex,2018.0,Flex,"R$ 47.342,00",005469-0,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:40",47342.0,VW - VolksWagen
Gol Trendline 1.0 T.Flex 12V 3p,7638,,,,,,,,,VW - VolksWagen
Gol Trendline 1.0 T.Flex 12V 5p,7522,2018 Flex,2018.0,Flex,"R$ 41.372,00",005455-0,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:41",41372.0,VW - VolksWagen
Gol Trendline 1.0 T.Flex 8V 3p,6785,,,,,,,,,VW - VolksWagen
Gol Trendline 1.0 T.Flex 8V 5p,6786,,,,,,,,,VW - VolksWagen
Gol Trendline 1.6 T.Flex 8V 3p,6977,,,,,,,,,VW - VolksWagen
Gol Trendline 1.6 T.Flex 8V 5p,6796,2018 Flex,2018.0,Flex,"R$ 45.504,00",005397-0,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:41",45504.0,VW - VolksWagen
Gol Trendline I Motion 1.6 T. Flex 8V 3p,6976,,,,,,,,,VW - VolksWagen
Gol Trendline I MOTION 1.6 T. Flex 8V 5p,6794,,,,,,,,,VW - VolksWagen
Gol TSi 1.8/ 1.8Mi,2435,,,,,,,,,VW - VolksWagen
Gol TSi 2000 2p e 4p,2436,,,,,,,,,VW - VolksWagen
Golf  BLACK EDITON 2.0 Mi T. Flex 8V Tip,5115,,,,,,,,,VW - VolksWagen
Golf  TECH 1.6 Mi Total Flex 8V 4p,4669,,,,,,,,,VW - VolksWagen
Golf 1.6 Mi Total Flex 8V 4p,4006,,,,,,,,,VW - VolksWagen
Golf 1.6 Mi Trip/ Sport 101cv 8V,2437,,,,,,,,,VW - VolksWagen
Golf 1.6Mi/ 1.6Mi Gener./Black & Silver,2438,,,,,,,,,VW - VolksWagen
Golf 1.8 Mi Sport 150cv Turbo Mec/Aut.,2439,,,,,,,,,VW - VolksWagen
Golf 2.0/ 2.0 Mi Flex Aut/Tiptronic.,2440,,,,,,,,,VW - VolksWagen
Golf 2.0/ 2.0 Mi Flex Comfortline Aut.,2442,,,,,,,,,VW - VolksWagen
Golf 2.0/ 2.0 Mi Flex Comfortline/ Sport,2443,,,,,,,,,VW - VolksWagen
Golf 2.0/2.0 T. Flex Mec.(Black & Silv),2441,,,,,,,,,VW - VolksWagen
Golf Comfort. 200 TSI 1.0 Flex 12V Aut.,8369,2018 Flex,2018.0,Flex,"R$ 97.940,00",005494-1,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:44",97940.0,VW - VolksWagen
Golf Comfortline 1.0 TSI Total Flex Mec.,7781,,,,,,,,,VW - VolksWagen
Golf Comfortline 1.4 TSI 140cv Aut.,6797,,,,,,,,,VW - VolksWagen
Golf Comfortline 1.4 TSI 140cv Mec.,6798,,,,,,,,,VW - VolksWagen
Golf Comfortline 1.6 MSI Total Flex Aut.,7460,,,,,,,,,VW - VolksWagen
Golf Comfortline 1.6 MSI Total Flex Mec.,7461,,,,,,,,,VW - VolksWagen
Golf Flash 1.6 Mi/1.6 Mi Tot. Flex 8V 4p,3914,,,,,,,,,VW - VolksWagen
Golf GL 1.8/ 2.0i 4p,2444,,,,,,,,,VW - VolksWagen
Golf GLX 2.0 4p,2445,,,,,,,,,VW - VolksWagen
Golf GT 2.0 Mi T. Flex 8V 4p Tiptronic,4835,,,,,,,,,VW - VolksWagen
Golf GT 2.0 Mi Total Flex 8V 4p,4703,,,,,,,,,VW - VolksWagen
Golf GTE TSI 1.4 16V Híbrido Aut.,8943,2020 Híbrido,2020.0,Híbrido,"R$ 168.696,00",005519-0,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:46",168696.0,VW - VolksWagen
Golf GTi 1.8 Mi 180/193cv Turbo 4p Mec.,2446,,,,,,,,,VW - VolksWagen
Golf GTi 1.8 Mi 180/193cv Turbo 4p Tip.,2447,,,,,,,,,VW - VolksWagen
Golf GTi 1.8 Mi 20V 2p Turbo Mec.,2448,,,,,,,,,VW - VolksWagen
Golf GTi 1.8 Mi 20V Turbo 2p Aut.,2449,,,,,,,,,VW - VolksWagen
Golf GTi 1.8 Mi 20V Turbo 4p Aut.,2450,,,,,,,,,VW - VolksWagen
Golf GTi 1.8 Mi 20V Turbo 4p Mec.,2451,,,,,,,,,VW - VolksWagen
Golf GTI 1.8 Turbo,2452,,,,,,,,,VW - VolksWagen
Golf GTi 2.0,2453,,,,,,,,,VW - VolksWagen
Golf GTi 2.0 TSI 220cv Aut.,6600,,,,,,,,,VW - VolksWagen
Golf GTi 350 TSI 2.0 230cv 16V Aut.,8370,2019 Gasolina,2019.0,Gasolina,"R$ 204.463,00",005496-8,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:48",204463.0,VW - VolksWagen
Golf GTi 350 TSI 2.0 230cv 16V Aut.,8370,2018 Gasolina,2018.0,Gasolina,"R$ 175.801,00",005496-8,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:48",175801.0,VW - VolksWagen
Golf GTi Cabrio 2.0 Mi,2454,,,,,,,,,VW - VolksWagen
Golf GTI VR6/ Golf 2.8 VR6,2455,,,,,,,,,VW - VolksWagen
Golf Highline 1.4 TSI 140cv Aut.,6601,,,,,,,,,VW - VolksWagen
Golf Highline 1.4 TSI 140cv Mec.,6602,,,,,,,,,VW - VolksWagen
Golf Highline 1.4 TSI Total Flex Aut.,7462,,,,,,,,,VW - VolksWagen
Golf Highline 1.4 TSI Total Flex Mec.,7463,,,,,,,,,VW - VolksWagen
Golf Highline 250 TSI 1.4 Flex 16V Aut.,8371,2018 Flex,2018.0,Flex,"R$ 114.453,00",005495-0,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:49",114453.0,VW - VolksWagen
Golf SILVER EDIT. 2.0 Mi T.Flex 8v Mec.,5007,,,,,,,,,VW - VolksWagen
Golf SILVER EDIT. 2.0 Mi T.Flex 8V Tip.,5008,,,,,,,,,VW - VolksWagen
Golf Sportline 1.6 Mi Total Flex 8V 4p,4312,,,,,,,,,VW - VolksWagen
Golf Sportline 2.0 Mi Total F. 8V Tip.,5221,,,,,,,,,VW - VolksWagen
Golf Variant Comf. 250 1.4 TSI Flex Aut.,8372,2018 Flex,2018.0,Flex,"R$ 99.499,00",005497-6,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:50",99499.0,VW - VolksWagen
Golf Variant Comfort. 1.4 TSI T.Flex Aut,7782,,,,,,,,,VW - VolksWagen
Golf Variant Comfortline 1.4 TSI  Aut.,7270,,,,,,,,,VW - VolksWagen
Golf Variant Comfortline 1.4 TSI Mec.,7464,,,,,,,,,VW - VolksWagen
Golf Variant High. 250 1.4 TSI Flex Aut.,8373,2018 Flex,2018.0,Flex,"R$ 115.812,00",005498-4,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:51",115812.0,VW - VolksWagen
Golf Variant Highli. 1.4 TSI T.Flex Aut,7748,,,,,,,,,VW - VolksWagen
Golf Variant Highline 1.4 TSI Aut.,7271,,,,,,,,,VW - VolksWagen
Apolo GL 1.8,2359,,,,,,,,,VW - VolksWagen
Apolo GLS/ Vip 1.8,2360,,,,,,,,,VW - VolksWagen
Polo 1.0 Flex 12V 5p,8070,2022 Flex,2022.0,Flex,"R$ 70.829,00",005479-8,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:52",70829.0,VW - VolksWagen
Polo 1.0 Flex 12V 5p,8070,2021 Flex,2021.0,Flex,"R$ 67.036,00",005479-8,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:52",67036.0,VW - VolksWagen
Polo 1.0 Flex 12V 5p,8070,2020 Flex,2020.0,Flex,"R$ 63.382,00",005479-8,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:52",63382.0,VW - VolksWagen
Polo 1.0 Flex 12V 5p,8070,2019 Flex,2019.0,Flex,"R$ 61.836,00",005479-8,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:53",61836.0,VW - VolksWagen
Polo 1.0 Flex 12V 5p,8070,2018 Flex,2018.0,Flex,"R$ 59.880,00",005479-8,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:53",59880.0,VW - VolksWagen
Polo 1.0 Mi 79cv 16V 5p,2527,,,,,,,,,VW - VolksWagen
Polo 1.0 MPI Flex 12V 5p,10107,2026 Flex,2026.0,Flex,"R$ 83.035,00",005533-6,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:53",83035.0,VW - VolksWagen
Polo 1.0 MPI Flex 12V 5p,10107,2025 Flex,2025.0,Flex,"R$ 76.683,00",005533-6,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:54",76683.0,VW - VolksWagen
Polo 1.0 MPI Flex 12V 5p,10107,2024 Flex,2024.0,Flex,"R$ 74.153,00",005533-6,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:54",74153.0,VW - VolksWagen
Polo 1.0 MPI Flex 12V 5p,10107,2023 Flex,2023.0,Flex,"R$ 69.811,00",005533-6,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:54",69811.0,VW - VolksWagen
Polo 1.0 TSI Flex 12V 5p,10108,2026 Flex,2026.0,Flex,"R$ 107.210,00",005534-4,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:54",107210.0,VW - VolksWagen
Polo 1.0 TSI Flex 12V 5p,10108,2025 Flex,2025.0,Flex,"R$ 93.294,00",005534-4,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:54",93294.0,VW - VolksWagen
Polo 1.0 TSI Flex 12V 5p,10108,2024 Flex,2024.0,Flex,"R$ 79.858,00",005534-4,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:55",79858.0,VW - VolksWagen
Polo 1.0 TSI Flex 12V 5p,10108,2023 Flex,2023.0,Flex,"R$ 76.834,00",005534-4,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:55",76834.0,VW - VolksWagen
Polo 1.6 E-Flex 8V 5p,4930,,,,,,,,,VW - VolksWagen
Polo 1.6 Mi/ S.Ouro 1.6Mi 101cv 8V 5p,2528,,,,,,,,,VW - VolksWagen
Polo 1.6 Mi/S.Ouro 1.6 Mi Tot.Flex 8V 5p,2529,,,,,,,,,VW - VolksWagen
Polo 1.6 MSI Flex 16V 5p,8067,2022 Flex,2022.0,Flex,"R$ 73.577,00",005478-0,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:55",73577.0,VW - VolksWagen
Polo 1.6 MSI Flex 16V 5p,8067,2021 Flex,2021.0,Flex,"R$ 69.939,00",005478-0,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:56",69939.0,VW - VolksWagen
Polo 1.6 MSI Flex 16V 5p,8067,2020 Flex,2020.0,Flex,"R$ 65.823,00",005478-0,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:56",65823.0,VW - VolksWagen
